timestamp,service,level,message,request_id,level_imputed,is_ts_anomaly,date,hour
2026-07-27 00:02:47+00:00,notification-worker,ERROR,ERR SMTPConnRefused host=mail-gw,req-65568711,False,False,2026-07-27,0
2026-07-27 00:12:06+00:00,auth-service,INFO,Session created uid=u2746,req-72350830,False,False,2026-07-27,0
2026-07-27 00:13:20+00:00,payment-api,WARN,Retry 1/3 calling notification-worker,req-22315507,False,False,2026-07-27,0
2026-07-27 00:20:17+00:00,notification-worker,INFO,SMS sent uid=u1132,req-27740248,False,False,2026-07-27,0
2026-07-27 00:27:38+00:00,auth-service,WARN,Slow login 900ms uid=u7882,req-95306788,False,False,2026-07-27,0
2026-07-27 00:32:14+00:00,auth-service,INFO,Session created uid=u2528,req-38688676,False,False,2026-07-27,0
2026-07-27 00:36:27+00:00,notification-worker,INFO,Email sent uid=u2106,req-63415303,False,False,2026-07-27,0
2026-07-27 00:36:32+00:00,batch-report,INFO,Daily report job started,req-67790557,False,False,2026-07-27,0
2026-07-27 00:53:39+00:00,batch-report,WARN,Report row mismatch expected=843 got=759,req-56751880,False,False,2026-07-27,0
2026-07-27 00:58:15+00:00,web-portal,INFO,Request completed path=/report in 554ms,req-20952896,False,False,2026-07-27,0
2026-07-27 00:58:35+00:00,notification-worker,INFO,SMS sent uid=u5942,req-42123815,False,False,2026-07-27,0
2026-07-27 01:04:00+00:00,notification-worker,INFO,Email sent uid=u5602,req-41240803,False,False,2026-07-27,1
2026-07-27 01:11:18+00:00,payment-api,INFO,Balance check ok uid=u4792,req-45507920,False,False,2026-07-27,1
2026-07-27 01:22:55+00:00,notification-worker,WARN,Queue depth high depth=2656,req-74154596,False,False,2026-07-27,1
2026-07-27 01:23:40+00:00,web-portal,INFO,Request completed path=/home in 752ms,req-70210270,False,False,2026-07-27,1
2026-07-27 01:25:30+00:00,web-portal,INFO,Request completed path=/home in 489ms,req-31306555,False,False,2026-07-27,1
2026-07-27 01:35:54+00:00,notification-worker,INFO,Email sent uid=u4792,req-87949714,False,False,2026-07-27,1
2026-07-27 01:36:12+00:00,notification-worker,INFO,Email sent uid=u1201,req-34019729,False,False,2026-07-27,1
2026-07-27 01:39:03+00:00,payment-api,INFO,Payment processed txn=t419149 amount=990000,req-28208520,False,False,2026-07-27,1
2026-07-27 01:42:55+00:00,auth-service,INFO,User login success uid=u2796,req-18526544,False,False,2026-07-27,1
2026-07-27 01:53:59+00:00,web-portal,INFO,Request completed path=/report in 768ms,req-48260510,False,False,2026-07-27,1
2026-07-27 01:54:55+00:00,payment-api,ERROR,ERR ConnTimeout db-primary after 30s retry=3,req-98843907,False,False,2026-07-27,1
2026-07-27 02:08:05+00:00,auth-service,INFO,Token refreshed uid=u3697,req-48285503,False,False,2026-07-27,2
2026-07-27 02:10:16+00:00,payment-api,INFO,Payment processed txn=t931131 amount=250000,req-48736657,False,False,2026-07-27,2
2026-07-27 02:10:52+00:00,web-portal,INFO,Request completed path=/home in 535ms,req-91424562,False,False,2026-07-27,2
2026-07-27 02:12:52+00:00,payment-api,INFO,Payment processed txn=t988456 amount=990000,req-69533928,False,False,2026-07-27,2
2026-07-27 02:16:40+00:00,batch-report,WARN,Report row mismatch expected=966 got=800,req-25294777,False,False,2026-07-27,2
